"date","publisher","Trump","Sanders","Biden","Warren","Buttigieg","Bloomberg","Klobuchar","Yang","Steyer","Gabbard"
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",0,0,1,0,0,1,0,0,0,0
"2020-03-12","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-12","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",0,0,0,0,0,1,0,0,0,0
"2020-03-13","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",0,1,1,0,0,0,0,0,0,1
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",0,0,0,0,0,1,0,0,0,0
"2020-03-13","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,1,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,1,0,0,0,0
"2020-03-13","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,1,1,0,1,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-13","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,1,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-14","Breitbart",0,1,1,1,1,1,1,0,1,1
"2020-03-14","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-14","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-15","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-14","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",0,1,1,0,0,1,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,1,1,0,1,1,1,0,1,0
"2020-03-16","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-15","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-15","Breitbart",0,1,1,0,0,0,0,1,0,0
"2020-03-15","Breitbart",0,1,1,1,0,0,0,0,0,0
"2020-03-15","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-16","Breitbart",0,0,0,0,0,0,0,1,0,0
"2020-03-16","Breitbart",1,0,0,0,0,0,0,0,0,0
